name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
mike.maggi	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-15	-15	-15
shelley.corman	 	 	 	 	 	 	 	 	32	32	32	32	32	32	32	32	32	32	-26	-26	-26	-26	-26	-26	-26	-26	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	 	 	 	 	 	 	 	 	 	 	 	-15	-15	-15	-16	-16	-16	-16	-16	-16	-16	-16	-16	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	 	 	 	 	 	 	 	-40	-40	-40	-40	-40	-40	-40	-40	-40	-40	 	 	 	 	 	-32	-32	-32	-32	-32	-32
rob.gay	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45
mike.mcconnell	 	 	 	 	 	 	 	 	 	 	 	 	 	25	25	25	24	24	24	24	24	24	24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ann.schmidt	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	21	21	21	21	21	21	21	21	21	21	 	 	 	 	 	 
sarah.novosel	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	42	41	41	47	47	47	47	47	47	47	47	47	21	21	21	21	21	21	21	21	21	21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	23	22
susan.scott	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	30	30	30	30	30	30	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	-44	 	43	43	43	43	-38	-38	-38	-38	-38	-38	-38	-38	-38	-38	-38	-38	-38	-35	-35	-35	-35	-35
mark.haedicke	 	 	-40	5	5	5	5	5	5	5	5	16	14	23	23	23	11	11	11	11	11	11	11	 	 	 	27	27	27	27	27	27	27	27	27	27	27	27	 	 	 	-47	-47	25	25	25	25	25	25	25	25	-25	-26	-26	-27	-27	-27	-27	-27	-27	-27	32	32	41	43	43	43	43	43	43	43	43	43	43	43	43	43	43	38	38	37	37	37	37	37	37	36	36	36	36	36	36	-18	-18	-18	-18	-18	-18	-18	-18
david.delainey	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-53	-53	-53	-53	-53	-53	-53	-53	-53	-53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
john.lavorato	 	 	 	 	 	-42	-42	-42	-42	-42	-42	4	-1	4	4	14	 	 	 	 	 	 	 	 	 	 	 	 	34	34	34	34	34	34	34	34	34	34	 	 	 	 	42	42	42	42	42	42	42	42	42	45	45	45	42	42	42	41	41	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-49	-49	-49	-49	-49	-49	-49	-49	-21	-21	 	 	 	-53	-53	-53
shirley.crenshaw	18	18	18	18	18	18	18	18	18	18	18	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28
kevin.hyatt	28	28	28	28	28	28	28	28	28	28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-41	-41	-41	-41	-41	-41	-41	-41	-41	-42	-42	-42	-42	-42	-42	-42	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-42	-42	-42	-42	-42	-42	-42	-42	-42	-42	 	 	-34	-34	-34	-34	-34	-34	-34	-34	-34	-34
greg.whalley	 	19	19	19	19	19	19	19	19	19	19	-28	-28	-28	-28	-28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-25	-25	-25	-25	-26	-26	-26	-26	-26	-26	 	44	44	42	42	44	41	41	41	-24	34	-24	-24	-26	-26	-26	-26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-20	-20	-20	-20	-20	-20	-20	-20	-20
tana.jones	 	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	8	8	8	8	8	8	8	8	8	8	8	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	26	26	26	26	26	26	26	26	26	26	26	29	25	25	30	30	30
